task_id,destination_id,destination_label,material,release_time,window_start,window_end,priority
T0017,DP-209A-01,209A,B料,71,96,140,Normal
T0029,DP-130A-02,130A,A料,72,97,146,Normal
T0011,DP-209C-01,209C,E料,76,101,121,Normal
T0047,DP-200A-02,200A,B料,78,103,142,Normal
T0083,DP-130A-04,130A,D料,79,104,151,Normal
T0032,DP-130B-02,130B,B料,79,104,143,Normal
T0104,DP-200B-04,200B,A料,80,105,153,Normal
T0068,DP-140C-03,140C,D料,81,106,143,Normal
T0021,DP-200A-01,200A,D料,85,110,160,Normal
T0089,DP-140A-04,140A,A料,86,111,140,Normal
T0003,DP-209F-01,209F,C料,86,111,138,Normal
T0057,DP-130A-03,130A,A料,87,112,157,Normal
T0062,DP-140A-03,140A,B料,87,112,138,Normal
T0024,DP-200B-01,200B,E料,87,112,143,Normal
T0014,DP-209B-01,209B,A料,87,112,145,Normal
T0009,DP-209D-01,209D,E料,87,112,138,Normal
T0035,DP-140A-02,140A,C料,89,114,135,Normal
T0050,DP-200B-02,200B,C料,89,114,139,Normal
T0095,DP-140C-04,140C,C料,91,116,145,Normal
T0071,DP-150-03,150,E料,94,119,151,Normal
T0107,DP-200C-04,200C,B料,94,119,169,Normal
T0101,DP-200A-04,200A,E料,95,120,159,Normal
T0060,DP-130B-03,130B,B料,97,122,171,Normal
T0086,DP-130B-04,130B,E料,98,123,167,Normal
T0065,DP-140B-03,140B,C料,98,123,157,Normal
T0093,DP-140B-04,140B,C料,98,123,159,Normal
T0075,DP-200A-03,200A,B料,98,123,170,Normal
T0039,DP-140B-02,140B,E料,100,125,157,Normal
T0006,DP-209E-01,209E,D料,101,126,148,Normal
T0078,DP-200B-03,200B,C料,108,133,166,Normal
T0053,DP-200C-02,200C,D料,108,133,175,Normal
T0099,DP-150-04,150,E料,109,134,171,Normal
T0012,DP-209C-01,209C,A料,112,137,163,Normal
T0081,DP-200C-03,200C,D料,114,139,173,Normal
T0045,DP-150-02,150,B料,118,143,185,Normal
T0027,DP-200C-01,200C,A料,124,149,192,Normal
T0018,DP-209A-01,209A,C料,125,150,192,Normal
T0036,DP-140A-02,140A,D料,128,153,180,Normal
T0042,DP-140C-02,140C,A料,128,153,178,Normal
T0090,DP-140A-04,140A,B料,129,154,179,Normal
T0051,DP-200B-02,200B,D料,129,154,186,Normal
T0069,DP-140C-03,140C,E料,130,155,198,Normal
T0033,DP-130B-02,130B,C料,131,156,194,Normal
T0063,DP-140A-03,140A,C料,131,156,191,Normal
T0015,DP-209B-01,209B,B料,131,156,190,Normal
T0084,DP-130A-04,130A,E料,134,159,200,Normal
T0030,DP-130A-02,130A,B料,135,160,182,Normal
T0048,DP-200A-02,200A,C料,135,160,185,Normal
T0096,DP-140C-04,140C,D料,138,163,199,Normal
T0072,DP-150-03,150,A料,139,164,191,Normal
T0105,DP-200B-04,200B,B料,140,165,192,Normal
T0066,DP-140B-03,140B,D料,142,167,195,Normal
T0102,DP-200A-04,200A,A料,147,172,207,Normal
T0108,DP-200C-04,200C,C料,153,178,200,Normal
T0087,DP-130B-04,130B,A料,154,179,223,Normal
T0054,DP-200C-02,200C,E料,166,191,218,Normal
